player,danger_generated
Sara Däbritz,1.683803878969174
Janina Minge,1.5572136265552827
Julie Piga,1.509855689970361
Noelle Maritz,1.4920482409375333
Selina Cerci,1.4867945465268149
Riola Xhemaili,1.480098338657418
Giovanna Hoffmann,1.3965773879336165
Grace Clinton,1.3958254855841403
Kelly Gago,1.3862177370290432
Ellen Wangerheim,1.3799177721698321
Leila Wandeler,1.3726327313596667
Niamh Charles,1.3534199914316578
Lou Bogaert,1.3447954150867123
Agnes Beever-Jones,1.3351965453367296
Lina Mona Andréa Hurtig,1.3289299778307626
Alayah Pilgrim,1.3107388374314743
Victoria López,1.2907464633466255
Michelle Agyemang,1.2899637469041039
Giada Greggi,1.2764712064763053
Sydney Lohmann,1.2604925490813876
Thiniba Samoura,1.2568453825015324
Madelen Fatimma Maria Janogy,1.246661698637623
Hannah Cain,1.2107320702339675
Linda Brigitta Sembrant,1.2055494388949277
Davina Philtjens,1.198849663695313
Valentina Bergamaschi,1.1976742824173556
Jonna Ann-Charlotte Andersson,1.189909871119458
Chloe Kelly,1.1889683358176344
Michela Cambiaghi,1.1797730750877835
Sakina Karchaoui,1.174040428586092
Dolores Isabel Jacome Silva,1.153719724666222
Kathrin Julia Hendrich,1.1438485986422249
Hanna Ulrika Bennison,1.1352210961388451
Amber Tysiak,1.1307032942421709
Kadidiatou Diani,1.1272806983284758
Jessica Carter,1.1255414849875545
Smilla Vallotto,1.1244811439777267
Sandy Baltimore,1.1077636155009887
Lia Wälti,1.1070007793617327
Telma Raquel Velosa Encarnação,1.10452708998785
Salma Paralluelo Ayingono,1.1040564753944684
Leah Williamson,1.1039531558913778
Smilla Holmberg,1.1029083710128265
Annamaria Serturini,1.1014575543636418
Elisa De Almeida,1.0941495048773955
Johanna Rytting-Kaneryd,1.0938807435040137
Melween Ndongala,1.0883663292851888
Jéssica da Silva,1.0815447560206612
Ona Batlle Pascual,1.07927729278258
Lauren Hemp,1.079092209180592
Bethany Mead,1.0717094373106089
Elisa Senß,1.0642065109631067
Cecilia Salvai,1.064201631016262
